body_site	CK25_FDSW210418094-1r_HMTM7DSX2_L3_2.fq.gz	CK25_FDSW210418094-1r_HMTM7DSX2_L3_1.fq.gz	CK25_FDSW210418094-1r_HMLYTDSX2_L2_2.fq.gz	CK25_FDSW210418094-1r_HMLYTDSX2_L2_1.fq.gz
Ruminococcus_sp_CAG_488	0.19874	0.1892	0.22272	0.22013
Ruthenibacterium_lactatiformans	0.04617	0.05198	0.05298	0.05515
Holdemanella_biformis	0.1792	0.16122	0.18308	0.17236
Firmicutes_bacterium_CAG_83	0.18905	0.19883	0.24809	0.27228
Firmicutes_bacterium_CAG_95	0.03613	0.05645	0.08206	0.06832
Acidaminococcus_intestini	0.10705	0.11325	0.11685	0.12359
Phascolarctobacterium_succinatutens	0.8193	0.90344	0.85873	0.8784
Veillonella_denticariosi	0.02621	0.02561	0.04747	0.04857
Veillonella_rodentium	0.03858	0	0.01138	0.01393
Victivallis_vadensis	1.37611	1.43268	1.38483	1.40539
Bilophila_wadsworthia	0.10866	0.10126	0.16571	0.172
Desulfovibrionaceae_bacterium	0.14489	0.14628	0.17253	0.17864
Desulfovibrio_piger	0.68264	0.6518	0.66511	0.6063
Escherichia_coli	0.21758	0.26975	0.04752	0.0419
Klebsiella_pneumoniae	45.69581	46.07328	43.55977	43.8843
Klebsiella_quasipneumoniae	4.73219	4.19772	4.33052	4.06935
Klebsiella_variicola	15.1366	14.59106	15.3694	15.20286
Akkermansia_muciniphila	0.15659	0.18709	0.23222	0.2169
Blastocystis_sp_subtype_1	0.3614	0.41537	0.35882	0.35481
